Timestamp (ms),Date,Hour (h),Minute (min),Second (s),Analog 1 (V),Analog 2 (V),Analog 3 (V),Analog 4 (V),Accel X (g),Accel Y (g),Accel Z (g),Intake Air Temp (°F),Coolant Temp (°F),Economy (l/100km),Econ avg 1 (l/100km),Econ avg 2 (l/100km),Trip 1 (km),Trip 2 (km),Fuel usage (l/h),Engine Speed (RPM),Engine Load (mg/str),Mass Airflow (kg/h),MAF Voltage (V),Knock Current (°CRK),Vanos (°CRK),TPS (%),Ignition Angle (°CRK),Fuel Inj (ms),Speed (mph),IACV (%),Lambda Int 1 (%),Lambda Int 2 (%),Lambda 1 (V),Lambda 2 (V),Battery Voltage (V),WBO (AFR),Oil Temp (°F),Oil Pressure (PSI),Brake Pressure (%),GPS Speed (km/h),GPS North (Angle),GPS Altitude (m),GPS Latitude (°),GPS Longitude (°),
188023,250209,19,39,25,3.002,1.232,0.467,3.155,0.156,-0.200,-0.580,83,193,99.00,98.24,98.24,515.05,515.08,57.46,5070,549.86,511.50,4.37,-0.75,29.59,48,20.79,15.11,100,0,4.36,4.28,4.72,4.72,13.64,15.58,224,81,19,136.77,330.56,154.100006,30.134903,-97.639984,
188090,250209,19,39,25,2.633,1.226,0.437,3.155,0.168,-0.124,-0.400,83,193,99.00,98.24,98.24,515.05,515.08,57.46,6341,376.95,415.75,3.86,-2.62,31.46,25,25.64,7.83,100,0,6.29,6.20,4.72,4.72,13.74,15.24,223,87,19,136.77,330.56,154.100006,30.134903,-97.639984,
188159,250209,19,39,25,2.660,1.319,0.448,3.155,0.104,-0.076,-0.512,83,193,99.00,98.24,98.24,515.05,515.08,37.26,6341,376.95,415.75,3.86,-2.62,31.46,25,25.64,7.83,100,0,6.29,6.20,4.72,4.72,13.74,14.92,223,83,19,134.47,330.18,154.100006,30.134933,-97.639999,
188229,250209,19,39,25,2.774,1.350,0.446,3.155,0.220,-0.168,-0.732,84,193,99.00,98.24,98.24,515.05,515.08,6.86,5634,63.06,62.25,1.87,0.00,33.70,0,9.22,1.62,86,0,-0.00,-0.00,0.49,0.61,13.74,15.27,223,78,20,132.55,329.89,154.100006,30.134962,-97.640022,
188299,250209,19,39,25,2.707,1.436,0.467,3.155,0.216,-0.152,-0.780,84,193,99.00,98.24,98.24,515.05,515.09,5.65,5708,46.14,47.25,1.64,0.00,33.33,0,2.51,1.32,86,0,-0.00,-0.00,0.47,0.55,13.84,15.04,223,80,22,132.55,329.89,154.100006,30.134962,-97.640022,
188369,250209,19,39,25,2.687,1.433,0.467,3.155,0.196,-0.096,-0.768,84,193,99.00,98.24,98.24,515.05,515.09,5.82,5503,50.86,51.00,1.72,0.00,35.20,0,4.38,1.41,86,0,-0.00,-0.00,1.19,3.06,13.74,15.03,223,79,23,130.27,329.76,154.100006,30.134989,-97.640038,
188439,250209,19,39,25,2.602,1.360,0.454,3.155,0.268,-0.228,-0.764,84,193,99.00,98.24,98.24,515.06,515.09,5.82,5451,47.80,47.50,1.66,0.00,37.45,0,3.26,1.36,86,0,-0.00,-0.00,4.63,4.47,13.84,15.02,223,79,23,128.08,329.32,154.100006,30.135017,-97.640060,
188509,250209,19,39,25,2.630,1.306,0.446,3.155,0.468,-0.208,-0.692,84,193,99.00,98.24,98.24,515.06,515.09,5.59,5328,49.96,48.50,1.68,0.00,38.57,0,4.00,1.40,86,0,-0.00,-0.00,4.70,4.65,13.74,14.84,223,78,21,128.08,329.32,154.100006,30.135017,-97.640060,
188579,250209,19,39,25,2.511,1.151,0.462,3.155,0.564,-0.136,-0.756,84,193,99.00,98.24,98.24,515.06,515.09,5.59,5213,50.06,47.25,1.64,0.00,38.95,0,4.00,1.41,86,0,-0.00,-0.00,4.72,4.68,13.74,14.99,223,77,19,125.90,328.84,154.000000,30.135044,-97.640076,
188650,250209,19,39,25,2.569,1.065,0.445,3.155,0.676,-0.256,-0.620,84,193,99.00,98.24,98.24,515.06,515.09,5.51,5254,48.80,46.50,1.64,0.00,38.57,0,3.63,1.38,86,0,-0.00,-0.00,4.72,4.70,13.74,14.85,223,77,18,123.31,328.18,154.000000,30.135069,-97.640099,
188723,250209,19,39,25,2.535,0.513,0.455,3.155,0.888,-0.092,-0.512,84,193,99.00,98.24,98.24,515.06,515.10,5.45,5095,50.48,47.25,1.64,0.00,38.95,0,4.00,1.42,86,0,-0.00,-0.00,4.72,4.72,13.64,14.76,223,75,12,120.66,327.30,153.899994,30.135094,-97.640114,
188799,250209,19,39,25,2.705,0.455,0.455,3.155,0.976,-0.096,-0.456,84,193,99.00,98.24,98.24,515.07,515.10,5.43,5095,50.48,47.25,1.64,0.00,38.95,0,4.00,1.42,86,0,-0.00,-0.00,4.72,4.72,13.64,14.89,223,74,3,120.66,327.30,153.899994,30.135094,-97.640114,
188869,250209,19,39,25,2.604,0.483,0.458,3.155,1.056,-0.148,-0.100,84,193,99.00,98.24,98.24,515.07,515.10,5.46,5145,49.88,46.25,1.64,0.00,38.57,0,4.00,1.42,86,0,-0.00,-0.00,4.74,4.72,13.74,14.94,224,77,-0,118.44,326.32,153.899994,30.135118,-97.640137,
188939,250209,19,39,25,2.588,0.499,0.464,3.155,1.084,-0.216,-0.188,84,193,99.00,98.24,98.24,515.07,515.10,5.36,5224,47.65,45.50,1.60,0.00,38.95,0,3.26,1.37,86,0,-0.00,-0.00,4.72,4.72,13.74,14.82,223,77,0,116.32,324.83,153.899994,30.135141,-97.640152,
189009,250209,19,39,25,2.122,0.484,0.459,3.155,1.156,-0.036,-0.260,84,193,99.00,98.24,98.24,515.07,515.10,5.40,5122,49.46,46.50,1.64,0.00,38.95,0,3.63,1.40,86,0,-0.00,-0.00,4.74,4.74,13.74,14.38,223,76,-0,116.32,324.83,153.899994,30.135141,-97.640152,
189079,250209,19,39,25,1.693,0.508,0.448,3.155,1.256,0.064,-0.168,84,193,99.00,98.24,98.24,515.07,515.10,5.40,5132,48.95,45.75,1.62,0.00,38.95,0,3.63,1.40,86,0,-0.00,-0.00,4.74,4.72,13.84,13.78,223,67,-0,115.69,323.02,153.899994,30.135164,-97.640175,
189149,250209,19,39,26,1.386,0.513,0.453,3.155,1.180,-0.180,-0.116,85,193,99.00,98.24,98.24,515.07,515.11,5.29,5121,48.01,44.50,1.60,0.00,38.95,0,3.26,1.38,73,0,-0.00,-0.00,4.74,4.74,13.84,12.57,223,40,-0,114.32,321.27,153.899994,30.135187,-97.640198,
189223,250209,19,39,26,1.705,0.484,0.446,3.155,1.032,-0.112,-0.188,85,193,99.00,98.24,98.24,515.07,515.11,5.29,5077,49.20,45.50,1.64,0.00,38.95,1,3.63,1.39,73,0,-0.00,-0.00,4.74,4.74,13.74,12.92,223,33,1,113.36,319.28,153.899994,30.135208,-97.640213,
189290,250209,19,39,26,1.607,0.572,0.457,3.155,1.044,-0.004,-0.140,85,193,99.00,98.24,98.24,515.08,515.11,5.31,5133,90.95,89.50,2.34,0.00,39.32,20,46.15,2.89,73,0,-0.00,-0.00,4.74,4.74,13.84,13.23,223,39,0,113.36,319.28,153.899994,30.135208,-97.640213,
189359,250209,19,39,26,1.670,0.497,0.458,3.155,1.108,-0.084,-0.072,85,193,99.00,98.24,98.24,515.08,515.11,11.12,5133,90.95,89.50,2.34,0.00,39.32,20,46.15,2.89,73,0,-0.00,-0.00,4.74,4.74,13.84,13.25,223,43,0,113.05,317.28,153.899994,30.135229,-97.640236,
189429,250209,19,39,26,1.612,0.512,0.457,3.155,0.996,-0.016,0.144,85,193,99.00,98.24,98.24,515.08,515.11,37.51,5267,314.96,308.00,3.63,-1.12,38.95,29,33.10,9.49,73,0,2.82,2.80,4.74,4.74,13.84,13.41,223,45,0,112.03,315.36,154.000000,30.135248,-97.640259,
189499,250209,19,39,26,1.652,0.521,0.446,3.155,0.936,-0.036,0.184,85,193,99.00,98.24,98.24,515.08,515.11,37.51,5205,407.84,388.00,3.90,-0.38,38.57,31,28.99,11.37,73,0,3.84,5.54,1.56,2.26,13.94,13.02,223,43,0,112.03,315.36,154.000000,30.135248,-97.640259,
189570,250209,19,39,26,1.667,0.483,0.462,3.155,0.964,-0.148,0.188,85,193,99.00,98.24,98.24,515.08,515.11,44.38,5255,472.44,452.75,4.12,-0.38,37.08,33,27.50,12.75,73,0,2.01,2.90,0.66,0.68,13.84,13.28,223,41,0,112.10,313.49,154.000000,30.135267,-97.640289,
189639,250209,19,39,26,1.571,0.471,0.462,3.155,0.932,0.008,0.004,85,193,99.00,98.24,98.24,515.08,515.12,50.26,5255,472.44,452.75,4.12,-0.38,37.08,33,27.50,12.75,73,0,2.01,2.90,0.66,0.68,13.84,13.10,223,41,-0,112.60,311.73,154.000000,30.135286,-97.640312,
189709,250209,19,39,26,0.000,0.490,0.446,3.155,1.000,0.028,-0.020,88,193,99.00,98.24,98.24,515.08,515.12,50.43,5271,482.62,463.00,4.14,-0.38,35.95,34,27.13,12.76,73,0,0.18,1.07,0.55,0.61,13.84,12.90,223,38,-0,112.60,311.73,154.000000,30.135286,-97.640312,
189779,250209,19,39,26,1.511,0.483,0.447,3.155,1.112,0.128,0.196,88,193,99.00,98.24,98.24,515.09,515.12,49.82,5309,482.43,464.50,4.16,-0.38,33.33,34,26.75,12.51,73,0,-1.65,-0.76,0.53,0.57,13.84,12.97,223,32,-0,112.69,310.16,154.000000,30.135303,-97.640335,
189849,250209,19,39,26,1.521,0.497,0.442,3.155,1.152,-0.104,0.088,88,193,99.00,98.24,98.24,515.09,515.12,49.06,5312,484.60,469.25,4.16,-0.38,31.83,34,26.75,12.31,73,0,-3.52,-2.61,0.53,0.57,13.94,12.97,223,35,-0,112.81,308.46,154.000000,30.135321,-97.640358,
189923,250209,19,39,26,1.396,0.493,0.452,3.155,1.124,-0.052,0.120,88,193,99.00,98.24,98.24,515.09,515.12,46.41,5360,463.09,448.50,4.08,-0.38,30.33,33,27.50,11.55,73,0,-5.39,-4.47,0.55,0.55,13.84,12.93,223,36,-0,113.36,306.23,154.000000,30.135338,-97.640388,
189989,250209,19,39,26,1.617,0.522,0.460,3.155,1.092,-0.124,0.164,88,193,99.00,98.24,98.24,515.09,515.12,46.41,5377,422.71,410.25,3.94,-0.38,28.46,31,29.37,10.35,73,0,-7.25,-6.34,0.55,0.55,13.84,12.82,223,36,0,113.36,306.23,154.000000,30.135338,-97.640388,
190059,250209,19,39,26,1.540,0.518,0.461,3.155,1.136,-0.144,0.056,88,193,99.00,98.24,98.24,515.09,515.12,38.88,5369,402.53,391.75,3.90,-0.38,26.96,30,30.11,9.65,73,0,-9.12,-8.21,0.55,0.55,13.84,12.94,224,38,-0,113.68,304.29,154.000000,30.135353,-97.640419,
190130,250209,19,39,26,1.556,0.497,0.453,3.155,1.128,0.004,0.120,88,193,99.00,98.24,98.24,515.09,515.13,38.88,5382,379.05,370.25,3.83,-0.38,25.09,29,31.23,8.89,71,0,-10.99,-10.07,0.62,0.61,13.84,13.02,224,38,0,114.31,302.50,153.899994,30.135368,-97.640442,
190199,250209,19,39,26,1.460,0.513,0.449,3.155,1.168,-0.008,0.120,88,193,99.00,98.24,98.24,515.09,515.13,35.89,5382,379.05,370.25,3.83,-0.38,25.09,29,31.23,8.89,71,0,-10.99,-10.07,0.62,0.61,13.84,12.99,224,37,0,114.31,302.50,153.899994,30.135368,-97.640442,
190269,250209,19,39,27,1.521,0.506,0.453,3.155,1.064,-0.160,0.036,88,193,99.00,98.24,98.24,515.10,515.13,31.05,5321,329.32,310.50,3.55,-0.38,23.59,26,33.47,7.78,71,0,-12.85,-11.92,0.72,0.68,13.94,12.88,224,36,0,114.42,300.53,153.800003,30.135384,-97.640472,
190339,250209,19,39,27,1.543,0.473,0.442,3.155,1.008,-0.132,0.076,88,193,99.00,98.24,98.24,515.10,515.13,22.25,5305,238.73,228.00,3.24,-1.12,22.10,24,37.94,5.59,71,0,-14.51,-13.60,0.53,0.59,13.84,13.06,224,37,0,114.77,298.58,153.800003,30.135397,-97.640503,
190409,250209,19,39,27,1.779,0.460,0.448,3.155,1.116,-0.008,-0.156,88,193,99.00,98.24,98.24,515.10,515.13,13.85,5238,152.90,142.75,2.73,0.00,20.60,19,41.68,3.52,71,0,-15.93,-15.07,0.57,0.70,13.94,13.32,224,40,0,114.77,298.58,153.800003,30.135397,-97.640503,
190479,250209,19,39,27,1.801,0.569,0.448,3.155,1.276,0.028,-0.160,88,193,99.00,98.24,98.24,515.10,515.13,13.85,5196,135.37,126.50,2.64,0.00,18.35,19,45.40,3.05,71,0,-17.18,-16.33,0.64,0.80,13.84,13.48,224,44,-0,114.60,296.73,153.699997,30.135410,-97.640533,
190549,250209,19,39,27,1.825,0.500,0.458,3.155,1.100,-0.128,-0.048,88,193,99.00,98.24,98.24,515.10,515.13,11.54,5212,133.43,126.50,2.62,0.00,16.85,19,45.40,2.95,71,0,-18.38,-17.52,1.13,2.87,13.84,13.54,224,47,0,114.38,295.00,153.600006,30.135422,-97.640564,
190623,250209,19,39,27,1.770,0.512,0.465,3.155,1.036,-0.348,-0.040,88,193,99.00,98.24,98.24,515.10,515.14,11.54,5228,132.93,126.50,2.62,0.00,14.98,19,45.40,3.00,71,0,-16.33,-14.86,4.26,4.41,13.94,13.43,223,47,-0,113.82,292.99,153.600006,30.135433,-97.640594,
190690,250209,19,39,27,1.981,0.499,0.442,3.155,1.064,-0.396,-0.112,88,193,99.00,98.24,98.24,515.10,515.14,11.77,5204,133.69,126.50,2.62,0.00,14.23,19,45.40,3.06,71,0,-15.12,-13.66,4.70,4.63,13.94,13.56,224,47,-0,113.82,292.99,153.600006,30.135433,-97.640594,
190759,250209,19,39,27,2.111,0.493,0.448,3.155,1.156,-0.012,-0.320,88,193,99.00,98.24,98.24,515.11,515.14,11.94,5204,133.69,126.50,2.62,0.00,14.23,19,45.40,3.06,71,0,-15.12,-13.66,4.70,4.63,13.94,13.88,224,51,0,114.10,291.20,153.500000,30.135443,-97.640625,
190829,250209,19,39,27,1.943,0.486,0.453,3.155,1.500,0.312,0.548,88,193,99.00,98.24,98.24,515.11,515.14,15.30,5220,159.68,157.00,2.91,0.00,13.86,24,41.30,3.91,71,0,-13.90,-12.44,4.74,4.68,13.84,13.84,224,55,0,113.55,289.35,153.300003,30.135452,-97.640656,
190899,250209,19,39,27,1.940,0.500,0.465,3.155,1.468,-0.260,0.016,88,193,99.00,98.24,98.24,515.11,515.14,31.04,5316,314.62,306.75,3.61,-1.12,13.86,28,34.21,7.79,71,0,-12.28,-10.88,4.74,4.72,13.94,13.56,223,52,0,113.55,289.35,153.300003,30.135452,-97.640656,
190969,250209,19,39,27,1.924,0.541,0.448,3.155,1.124,-0.216,0.024,88,193,99.00,98.24,98.24,515.11,515.14,31.04,5440,466.73,471.75,4.22,-0.38,13.86,35,24.52,11.15,71,0,-10.43,-9.04,4.74,4.72,13.84,13.66,223,50,0,112.68,287.47,153.300003,30.135460,-97.640686,
191039,250209,19,39,27,2.028,0.503,0.452,3.155,1.240,0.092,0.080,88,193,99.00,98.24,98.24,515.11,515.14,54.51,5733,518.87,548.00,4.47,-2.62,14.23,39,24.89,12.68,71,0,-8.54,-7.15,4.74,4.72,13.94,13.77,223,51,-0,113.16,284.99,153.199997,30.135468,-97.640717,
191109,250209,19,39,27,1.935,0.553,0.447,3.155,1.360,0.192,0.436,88,193,99.00,98.24,98.24,515.11,515.14,54.51,5846,625.93,680.50,4.90,-3.38,14.23,49,23.02,15.36,71,0,-6.58,-5.20,4.76,4.74,13.94,13.77,223,54,0,113.16,284.99,153.199997,30.135468,-97.640717,
191179,250209,19,39,27,1.802,0.503,0.448,3.155,1.680,0.412,0.124,88,193,99.00,98.24,98.24,515.11,515.15,67.36,5351,705.56,696.75,4.80,-1.50,14.23,73,17.43,18.22,71,0,-4.60,-3.22,4.76,4.74,13.84,13.64,223,52,0,112.71,283.15,153.100006,30.135473,-97.640747,
191250,250209,19,39,27,1.725,0.493,0.474,3.155,1.460,0.052,0.184,88,193,99.00,98.24,98.24,515.12,515.15,73.12,5385,691.61,674.25,4.80,-1.50,14.23,75,19.67,18.51,71,0,-2.62,-1.24,4.74,3.44,13.84,13.36,223,50,0,113.34,280.89,153.000000,30.135477,-97.640778,
191343,250209,19,39,28,1.744,0.467,0.458,3.155,1.064,-0.328,0.208,88,193,99.00,98.24,98.24,515.12,515.15,74.75,5690,676.83,692.25,4.98,-3.38,14.23,75,22.28,18.50,71,0,-0.65,-0.00,1.95,0.68,13.84,13.34,223,44,0,114.42,278.53,153.000000,30.135481,-97.640808,
191399,250209,19,39,28,1.949,0.474,0.486,3.155,0.844,-0.320,0.320,88,193,99.00,98.24,98.24,515.12,515.15,78.94,5690,676.83,692.25,4.98,-3.38,14.23,75,22.28,18.50,71,0,-0.65,-0.00,1.95,0.68,13.84,13.37,223,45,0,114.42,278.53,153.000000,30.135481,-97.640808,
191469,250209,19,39,28,1.879,0.493,0.464,3.155,1.016,-0.008,0.332,88,193,99.00,98.24,98.24,515.12,515.15,83.17,6076,658.64,725.00,4.98,-3.75,14.23,75,24.52,18.25,71,0,-0.00,-0.00,0.74,0.57,13.84,13.69,223,52,-0,114.75,276.49,152.899994,30.135485,-97.640846,
191539,250209,19,39,28,1.866,0.480,0.444,3.155,1.176,0.084,0.324,88,193,99.00,98.24,98.24,515.12,515.15,82.66,6090,651.99,725.00,4.98,-3.00,14.23,75,24.52,18.10,71,0,-0.00,-0.00,0.53,0.53,13.74,13.59,223,51,1,114.86,274.79,152.800003,30.135487,-97.640877,
191609,250209,19,39,28,1.693,0.503,0.459,3.155,1.316,0.308,0.252,88,193,99.00,98.24,98.24,515.12,515.15,82.66,5771,687.25,723.25,4.98,-3.38,14.61,75,22.28,18.93,71,0,-0.00,-0.00,0.53,0.51,13.84,13.49,223,49,0,114.86,274.79,152.800003,30.135487,-97.640877,
191679,250209,19,39,28,1.648,0.513,0.464,3.155,1.216,0.020,0.240,88,193,99.00,98.24,98.24,515.12,515.16,78.07,5477,696.78,705.50,4.86,-3.38,14.61,75,20.41,19.01,71,0,-0.00,-0.00,0.51,0.51,13.84,13.15,223,43,-0,115.40,272.53,152.800003,30.135487,-97.640907,
191749,250209,19,39,28,1.828,0.508,0.455,3.155,1.040,-0.020,0.360,88,193,99.00,98.24,98.24,515.13,515.16,78.07,5583,681.45,694.50,4.86,-3.38,14.23,75,21.16,18.75,71,0,-0.00,-0.00,0.49,0.49,13.84,13.38,223,43,0,117.21,270.59,152.699997,30.135487,-97.640945,
191823,250209,19,39,28,2.103,0.506,0.463,3.155,1.060,-0.024,0.400,88,193,99.00,98.24,98.24,515.13,515.16,78.51,5619,680.63,700.25,4.88,-3.38,14.23,75,21.53,18.70,71,0,-0.00,-0.00,0.49,0.49,13.84,13.70,223,47,0,117.58,268.72,152.600006,30.135487,-97.640976,
191890,250209,19,39,28,2.310,0.502,0.441,3.155,1.080,-0.116,0.260,88,193,99.00,98.24,98.24,515.13,515.16,78.79,5651,676.70,699.00,4.88,-3.38,14.23,75,22.28,18.57,71,0,-0.00,-0.00,0.49,0.47,13.74,14.32,223,60,-0,117.58,268.72,152.600006,30.135487,-97.640976,
191959,250209,19,39,28,2.182,0.487,0.448,3.155,1.044,0.172,0.272,88,193,99.00,98.24,98.24,515.13,515.16,78.71,5651,676.70,699.00,4.88,-3.38,14.23,75,22.28,18.57,71,0,-0.00,-0.00,0.49,0.47,13.74,14.14,223,63,0,118.45,267.08,152.500000,30.135485,-97.641014,
192029,250209,19,39,28,2.129,0.493,0.458,3.155,1.120,0.232,0.200,88,193,99.00,98.24,98.24,515.13,515.16,80.85,5748,680.65,713.00,4.96,-3.38,13.86,75,22.28,18.75,71,0,-0.00,-0.00,0.49,0.47,13.84,14.05,223,62,-0,119.42,265.36,152.399994,30.135481,-97.641045,
192099,250209,19,39,28,2.132,0.513,0.458,3.155,1.208,0.104,0.252,88,193,99.00,98.24,98.24,515.13,515.16,79.65,5661,681.35,685.25,4.94,-3.38,13.86,75,21.91,18.76,71,0,-0.00,-0.00,0.49,0.47,13.84,13.98,223,58,-0,119.42,265.36,152.399994,30.135481,-97.641045,
192169,250209,19,39,28,2.295,0.492,0.471,3.155,1.000,0.052,0.300,87,193,99.00,98.24,98.24,515.13,515.17,80.96,5717,684.33,717.75,4.90,-3.38,14.23,75,22.28,18.88,74,0,-0.00,-0.00,0.47,0.47,13.84,14.22,223,60,-0,120.18,263.57,152.300003,30.135477,-97.641083,
192239,250209,19,39,28,2.511,0.473,0.449,3.155,0.892,-0.184,0.328,87,193,99.00,98.24,98.24,515.13,515.17,80.96,5758,677.88,712.50,4.96,-3.38,14.23,75,22.65,18.67,74,0,-0.00,-0.00,0.47,0.47,13.84,14.44,223,63,-1,121.42,261.85,152.199997,30.135473,-97.641113,
192309,250209,19,39,28,2.810,0.486,0.458,3.155,0.824,-0.212,0.228,87,193,99.00,98.24,98.24,515.14,515.17,81.07,5790,676.54,707.00,4.98,-3.38,13.86,75,23.02,18.67,74,0,-0.00,-0.00,0.47,0.47,13.84,15.16,223,74,0,121.42,261.85,152.199997,30.135473,-97.641113,
192379,250209,19,39,28,2.893,0.516,0.453,3.155,0.780,0.104,0.128,87,193,99.00,98.24,98.24,515.14,515.17,81.07,5853,677.82,722.50,4.98,-3.38,13.48,75,23.40,18.73,74,0,-0.00,-0.00,0.47,0.47,13.84,15.40,223,82,0,122.42,260.00,152.100006,30.135468,-97.641151,
192450,250209,19,39,29,2.815,0.527,0.446,3.155,0.856,0.188,0.224,87,193,99.00,98.24,98.24,515.14,515.17,82.23,5824,678.30,717.75,4.96,-3.38,13.48,75,23.02,18.77,74,0,-0.00,-0.00,0.47,0.47,13.84,15.39,223,86,0,123.31,258.60,151.899994,30.135460,-97.641182,
192523,250209,19,39,29,2.649,0.513,0.446,3.155,1.040,0.016,0.288,87,193,99.00,98.24,98.24,515.14,515.17,81.99,5900,670.97,715.75,4.98,-3.00,13.86,75,23.77,18.56,74,0,-0.00,-0.00,0.47,0.47,13.84,15.03,223,82,-0,123.95,257.25,151.800003,30.135454,-97.641220,
192599,250209,19,39,29,2.532,0.495,0.457,3.155,0.944,-0.088,0.208,87,193,99.00,98.24,98.24,515.14,515.17,82.14,5900,670.97,715.75,4.98,-3.00,13.86,75,23.77,18.56,74,0,-0.00,-0.00,0.47,0.47,13.84,14.74,223,77,-0,123.95,257.25,151.800003,30.135454,-97.641220,
192669,250209,19,39,29,2.659,0.516,0.445,3.155,1.000,0.172,0.236,88,193,99.00,98.24,98.24,515.14,515.18,82.62,5909,673.43,722.50,4.98,-3.00,13.86,75,23.77,18.64,74,0,-0.00,-0.00,0.47,0.45,13.84,14.70,223,74,-0,125.12,255.48,151.600006,30.135445,-97.641258,
192739,250209,19,39,29,2.769,0.493,0.458,3.155,0.992,0.268,0.160,88,193,99.00,98.24,98.24,515.14,515.18,82.62,5988,666.90,725.00,4.98,-3.00,13.86,75,23.77,18.49,74,0,-0.00,-0.00,0.47,0.45,13.84,14.87,223,74,0,126.16,254.07,151.500000,30.135437,-97.641289,
192809,250209,19,39,29,2.816,0.496,0.463,3.155,0.988,0.348,0.132,88,193,99.00,98.24,98.24,515.15,515.18,83.17,5966,670.17,725.00,4.98,-3.00,14.23,75,23.77,18.59,74,0,-0.00,-0.00,0.47,0.45,13.94,15.26,223,83,-0,126.16,254.07,151.500000,30.135437,-97.641289,
192879,250209,19,39,29,2.691,0.531,0.456,3.155,0.808,0.024,0.436,88,193,99.00,98.24,98.24,515.15,515.18,83.10,5997,666.50,725.00,4.98,-3.00,13.86,75,23.77,18.48,74,0,-0.00,-0.00,0.47,0.45,13.84,15.08,223,83,-0,126.79,252.61,151.399994,30.135426,-97.641327,
192949,250209,19,39,29,2.576,0.479,0.460,3.155,0.656,-0.260,-0.036,88,193,99.00,98.24,98.24,515.15,515.18,83.10,6047,661.35,725.00,4.98,-3.38,13.86,75,24.52,18.35,74,0,-0.00,-0.00,0.47,0.45,13.84,14.91,223,80,0,128.01,251.18,151.300003,30.135416,-97.641357,
193023,250209,19,39,30,2.663,0.479,0.454,3.155,0.800,0.060,0.100,88,193,99.00,98.24,98.24,515.15,515.18,82.96,6064,657.97,725.00,4.98,-3.00,14.23,75,24.52,18.24,74,0,-0.00,-0.00,0.47,0.45,13.84,14.86,223,76,0,129.03,249.67,151.100006,30.135405,-97.641396,
193090,250209,19,39,30,2.733,0.496,0.440,3.155,0.680,0.156,0.084,88,193,99.00,98.24,98.24,515.15,515.18,82.96,6133,650.29,725.00,4.98,-3.00,13.86,75,24.52,18.04,74,0,-0.00,-0.00,0.45,0.45,13.84,15.08,223,78,-0,129.03,249.67,151.100006,30.135405,-97.641396,
193159,250209,19,39,30,2.774,0.458,0.475,3.155,0.528,0.048,0.268,88,193,99.00,98.24,98.24,515.15,515.19,83.00,6133,650.29,725.00,4.98,-3.00,13.86,75,24.52,18.04,74,0,-0.00,-0.00,0.45,0.45,13.84,15.19,223,80,0,129.71,248.67,151.000000,30.135391,-97.641426,
193229,250209,19,39,30,2.662,0.483,0.455,3.155,0.244,-0.032,0.388,88,193,99.00,98.24,98.24,515.15,515.19,83.34,6158,648.86,725.00,4.98,-3.00,13.86,75,24.89,18.04,79,0,-0.00,-0.00,0.47,0.45,13.84,15.14,224,81,0,130.73,247.73,150.899994,30.135380,-97.641464,
193299,250209,19,39,30,2.691,0.566,0.442,3.155,0.644,0.132,0.176,88,193,99.00,98.24,98.24,515.16,515.19,83.32,6197,645.73,725.00,4.98,-3.38,14.23,75,25.26,17.93,79,0,-0.00,-0.00,0.47,0.45,13.84,15.16,224,81,0,130.73,247.73,150.899994,30.135380,-97.641464,
193369,250209,19,39,30,2.817,0.487,0.452,3.155,0.740,0.284,0.112,88,193,99.00,98.24,98.24,515.16,515.19,82.92,6221,639.47,725.00,4.98,-4.12,13.86,75,25.26,17.77,79,0,-0.00,-0.00,0.45,0.45,13.84,15.06,224,80,0,131.86,246.83,150.800003,30.135366,-97.641502,
193439,250209,19,39,30,2.775,0.513,0.452,3.155,0.720,0.464,0.104,88,193,99.00,98.24,98.24,515.16,515.19,82.92,6238,641.07,725.00,4.98,-4.12,14.23,75,25.26,17.82,79,0,-0.00,-0.00,0.47,0.45,13.94,15.21,224,81,0,132.40,245.95,150.699997,30.135353,-97.641533,
193509,250209,19,39,30,2.806,0.481,0.446,3.155,0.412,0.280,0.096,88,193,99.00,98.24,98.24,515.16,515.19,83.13,6250,638.55,725.00,4.98,-4.12,13.86,75,25.26,17.73,79,0,-0.00,-0.00,0.47,0.45,13.84,15.19,224,81,1,132.40,245.95,150.699997,30.135353,-97.641533,
193579,250209,19,39,30,2.733,0.479,0.444,3.155,0.072,0.176,-0.204,88,193,99.00,98.24,98.24,515.16,515.20,83.13,6335,632.79,725.00,4.98,-4.12,14.23,75,25.64,17.62,79,0,-0.00,-0.00,0.45,0.45,13.94,15.21,224,82,0,133.53,245.08,150.600006,30.135338,-97.641571,
193650,250209,19,39,30,2.765,0.480,0.440,3.155,0.620,0.256,0.300,88,193,99.00,98.24,98.24,515.16,515.20,83.73,6285,635.65,725.00,4.98,-4.12,14.23,75,25.26,17.69,79,0,-0.00,-0.00,0.45,0.45,13.94,15.21,224,82,-0,134.66,244.57,150.399994,30.135323,-97.641602,
193723,250209,19,39,30,2.726,0.512,0.436,3.155,0.112,0.188,0.120,88,193,99.00,98.24,98.24,515.17,515.20,83.37,6350,626.87,725.00,4.98,-4.12,13.86,75,25.64,17.41,79,0,-0.00,-0.00,0.45,0.45,13.94,15.16,224,81,0,135.47,244.24,150.300003,30.135309,-97.641640,
